,e_aq,H_r,OH_r,H2,H2O2
0.13,2.70,0.60,2.70,0.45,0.70
0.5,2.675317244638209,0.5987518064350446,2.765496688478056,0.3451892704248203,0.5897805681677878
2.0101010101010104,2.1751305671455468,0.5744610698227903,2.2709995610419385,0.40340389233002893,0.6196213211509047
3.5202020202020203,1.8654361584932657,0.5702801979715355,2.045106705254645,0.44176169832934403,0.6406570238458054
5.03030303030303,1.7044696455607502,0.5578103879934764,1.8352172953989356,0.4711611900878588,0.6700110616394755
6.540404040404041,1.5419929130809988,0.5334812879964892,1.6784599579512718,0.49539991646566,0.6816908976826482
8.050505050505052,1.4267200236160353,0.5103273845308065,1.570663500555479,0.5161593755578744,0.6944119252706457
9.56060606060606,1.3205420763198727,0.495409004946734,1.4606067415623443,0.5350067551891668,0.7092332238662743
11.070707070707071,1.2169444255261044,0.4865547752623951,1.3681823341384636,0.5524957571142091,0.7236872461964615
12.580808080808081,1.134654861925145,0.480913928292928,1.297141204097714,0.5686488968941611,0.7357025346960813
14.090909090909092,1.0740598101205983,0.4756357491270707,1.2345691439025075,0.583484013335774,0.7452330218180826
15.601010101010102,1.0246622879485687,0.4685362590803565,1.174105699637946,0.5970189452458002,0.7528783184956493
17.11111111111111,0.9799075117912426,0.45976434444027797,1.117948734059375,0.6092720077338089,0.7592383129073448
18.62121212121212,0.9392594425494503,0.4499788230721401,1.0687690576747606,0.620296101579935,0.7649124936737983
20.13131313131313,0.9026648030673834,0.4398385128412479,1.0271223984347404,0.6302015087093541,0.7703452387522662
21.641414141414142,0.8698832686790321,0.4300022316129065,0.9910214776057698,0.6391039160414572,0.7755914480501336
23.151515151515152,0.8400791284925321,0.4210710410879476,0.9583281814703416,0.6471190104956344,0.7806458642176031
24.661616161616163,0.8122984720484395,0.4131510628644846,0.9270464563980321,0.6543624789912761,0.7855032299048772
26.171717171717173,0.7855873888873116,0.406096826221103,0.8965924422657158,0.6609500084477726,0.7901582877621579
27.681818181818183,0.7589930251459646,0.39976087619689754,0.8671912931591985,0.6669972857845148,0.7946057804396476
29.191919191919194,0.7319525937853465,0.3939957578309627,0.8390777224863356,0.6726199979208929,0.7988404532379664
30.702020202020204,0.7048742061227056,0.3886540161623935,0.8124864436549827,0.6779338317762972,0.8028598473177516
32.21212121212122,0.6783144980356874,0.3835881962302844,0.7876521700729953,0.6830544742701181,0.806669600882443
33.72222222222222,0.6528301054019372,0.3786509920378645,0.7648096150059427,0.6880777058001314,0.8102768094957647
35.23232323232323,0.6289776640991005,0.37373880120462777,0.744115755953622,0.6930175713265102,0.8136885687214419
36.74242424242424,0.6073138100048228,0.36885228814473753,0.7254279654471605,0.6978671407175336,0.816911974123199
38.25252525252525,0.5883073630110268,0.3640073358399295,0.7085314466750343,0.7026194838279544,0.819954121264761
39.76262626262626,0.5718045187599265,0.3592198272719396,0.6932114028257197,0.7072676705125257,0.8228221057098519
41.27272727272727,0.5573824131906999,0.3545056454225034,0.6792530370876929,0.7118047706259998,0.8255230230221969
42.782828282828284,0.544617113286075,0.34988067327335687,0.6664415526494301,0.7162238540231303,0.8280639687655205
44.292929292929294,0.5330846860287803,0.34536079380623536,0.6545621526994077,0.7205179905586693,0.8304520385035472
45.803030303030305,0.5223611984015446,0.3409618900028752,0.6434000404261018,0.7246802500873705,0.8326943278000017
47.313131313131315,0.5120242142484097,0.33669984484501175,0.6327449846528937,0.728703702463986,0.8347979814261423
48.823232323232325,0.5018020652177912,0.3325905413143808,0.6224883985660512,0.7325814175432688,0.8367703550963704
50.333333333333336,0.4917008445084425,0.3286498623927182,0.6126215045606973,0.736306465179972,0.8386188610384847
51.843434343434346,0.48175655339023543,0.3248936851045652,0.6031397235978606,0.739871919789731,0.8403509114809317
53.35353535353536,0.4720051931330429,0.32133194392425035,0.5940384766385707,0.7432741913674704,0.8419739186521574
54.86363636363637,0.4624827650067368,0.3179574763880022,0.5853131846438563,0.7465189161392718,0.8434952947806086
56.37373737373738,0.45322527028119,0.3147600640696341,0.5769592685747466,0.7496133122349433,0.8449224520947318
57.88383838383839,0.44426871022627473,0.31172948854295973,0.5689721493922704,0.7525645977842929,0.8462628028229737
59.3939393939394,0.43564908611186337,0.30885553138179245,0.5613472480574571,0.7553799909171279,0.8475237591937803
60.90404040404041,0.4274023992078284,0.30612797415994586,0.5540799855313352,0.7580667097632571,0.8487127334355986
62.41414141414142,0.4195646469006873,0.3035365984512336,0.5471657827749341,0.760631972452487,0.8498371377768746
63.92424242424243,0.4121592695709682,0.301071185829469,0.5406000607492825,0.7630829971146266,0.8509043844460553
65.43434343434343,0.4051692517391142,0.29872151786846574,0.5343782404154097,0.7654270018794828,0.8519218856715869
66.94444444444444,0.3985694462732204,0.29647737614203734,0.5284956781168704,0.7676712048768645,0.8528970536819158
68.45454545454545,0.3923347060413821,0.29432854222399707,0.522942235624282,0.7698228242365781,0.853837300705489
69.96464646464646,0.3864398839116944,0.29226479768815883,0.5176981689542852,0.7718890780884329,0.8547500389707526
71.47474747474747,0.3808598327522528,0.2902759241083359,0.5127427659537409,0.7738771845622355,0.855642680706153
72.98484848484848,0.3755694054311523,0.288351703058342,0.508055314469511,0.775794361787795,0.8565226381401371
74.4949494949495,0.3705434548164879,0.2864819161119905,0.5036151023484572,0.7776478278949182,0.8573973205917523
76.0050505050505,0.36575683377635526,0.2846563448430949,0.49940141743744065,0.7794448010134132,0.8582722635859761
77.51515151515152,0.36118439517884937,0.28286477625591255,0.49539354758332305,0.7811924992730878,0.8591479098167965
79.02525252525253,0.35680099189206543,0.28109940401309996,0.49157078063296594,0.7828981408037503,0.860023844949129
80.53535353535354,0.35258147678409874,0.2793586009168678,0.48791240443323086,0.7845689437352074,0.8608996546478904
82.04545454545455,0.3485007027230443,0.27764171768111734,0.4843977068309793,0.7862121261972684,0.8617749245779965
